contribution	date	full_text	helpful	rating	showname	title	user
79	September 11, 2017	"I am a born and raised New Yorker. I have seen dozens and dozens of shows. I see almost everything. I won the lottery for 2 tickets for a Saturday night so we went. That said, I thought this show was just OK. Yes, the lead, Ben Platt, was very good in his role. I didn't know who he was but, when he came out on stage, the young people in the audience went crazy and I read that he was from Pitch Perfect. He put his all into the performance but, at times, he spoke too fast and mumbled and I totally missed what he was saying. I wasn't sure if he was in character or if he was rushing his lines because he says them every day and is burning out. The message of the show is a good one and relevant to teens today. The show ran 2 and a half hours which I felt could be scaled down to 1 hour 45 minutes. None of the songs were memorable to me. My husband felt the same way as me about the show and he usually takes the opposite opinion of anything I say so that is telling. I was surprised at the amount of reviewers saying that they were crying at the end of the first act. I cry at TV commercials and almost anything else but I felt no emotion at this show. The girl in front of us was crying at the end and it seemed others were, too, but, again, it didn't tug at my heart strings. This is just my opinion and I realize that it's very different from most other reviewers here. Be warned: the ""f"" word is used many, many times throughout the show. If you are visiting from out of town and have limited time to see a show, I highly recommend Come From Away. It is simply fantastic and you will leave the theater on a pure high."	35	3	Dear Evan Hansen	It was just OK	Kiki2010
340	September 13, 2017	This is a very depressing show, the actors are extremely talented so I just tried to concentrate on their ability and voices. The subject of suicide and teen depression is a tough one, not sure I want to be entertained by it. I did to like the vulgar language, even though I realize that is reality, again not entertaining.	89	2	Dear Evan Hansen	Very Depressing	chefbaby2013
48	September 16, 2017	"I'm a guy. I am usually not comfortable with ""tear jerker"" movies or shows. This was incredible. Lead, Ben Platt not doing matinees so Michael Lee Brown performed. I cannot fathom someone doing the role better. He poured himself into it. A TRUE actor.  The show had very important messages that should be seen by all. The music was good, but not as memorable as say ""Rent"".  Highly recommend to all. "	11	5	Dear Evan Hansen	OMG. Understudy for lead was INCREDIBLE 	eabgolfer
228	September 17, 2017	The understudy for Evan Hansen was fantastic. The understudy for Evan's mother was having a terrible night. She sounded bad and came off as an uncaring mother, which wasn't her role; no emotion. She was the only member of the cast who wasn't on. The first act was a ton of fun. I laughed a lot and found it touching. The second act was SO DEPRESSING! It was tough. So much ugly crying. So much sadness. So little hope. At intermission I texted a friend and told him he had to take his mom. At the end of the show I texted him and took it back. Good show. Heavy. Know what you're getting into. 	88	4	Dear Evan Hansen	Amazing act 1; act 2 is tough 	Wellington24
20	September 19, 2017	"I am a serious theater goer. So, when I say that Ben Platt gives one of the great performances in Broadway history, please take note. There are few roles in musicals that are so raw and riveting. Patti Lupone in ""Gypsy."" Mandy Patinkin in ""Sunday in the Park with George."" Ben Platt's emotional breakdown during ""Words Fail,"" is of that caliber. When he is on stage, one recalls how truly electric and transporting theater can be. This part was tailor-made for him and I imagine that all others will play Ben Platt playing Evan Hansen.  Aside from his performance, this is a very good, but flawed show. From the same director, Michael Greif, as ""Next to Normal,"" the shows share many similarities. Both focus on mental illness and a main character in crisis. Though the two shows have different composers, even the music sounds similar. The first act is solid, but the second feels unfocused. But Platt's performance covers a multitude of sins."	71	5	Dear Evan Hansen	Ben Platt - 5 stars. Dear Evan Hansen - 3 stars	jlasf
4	September 21, 2017	This was an amazing musical! Michael Lee Brown was incredible as lead. He was so believable in his role. The whole cast was wonderfully talented. This is a musical that I highly recommend and will see at least two more times.	20	5	Dear Evan Hansen	Incredible musical	mackaydon
227	September 24, 2017	I paid ridiculous stubhub prices in order to see this before Ben Platt left. Worth every penny. Such a heart-wrenching, emotional journey. Not every play can cause you to feel a full spectrum of emotions but this play captures that. This is the type of play that everyone should see. Whether you relate to the Evan Hansen character or you're the opposite of him you'll get something out of it. Such a strong message and well worth the pricey ticket costs to go see it. Ben Platt was incredible, sad he's leaving but I'm sure the next guys will be great too. Mike Faist is the most adorable thing and did a fantastic job as Conner...one of my new favorite broadway actors. Will Roland was also a highlight for me. Did such a great job bringing humor and sarcasm into the show which I loved. Overall show is amazing, definitely made it into my top 5! 	101	5	Dear Evan Hansen	Full spectrum of emotions in one play!	MelissaClaire93
183	September 24, 2017	"When my wife told me we were attending this performance and it was a ""TEAR JERKER"", I asked why are we going?  The Theater like most are small and old but I doubt that there many bad seats. Even the seats were a bit more comfortably spaced, I've been to some where you're on your neighbors lap.  The concept of the play is one many can relate to. It's about the struggle to fit into a mold of what is excepted. We all know individuals who struggle to fit in at school, work or communities. Ben Platt performance was by far the best I have ever seen on stage or the big screen. ""I HAVE NEVER BEEN SO TOUCHED!"" I, like most of the attendees laughed and cried because we have all been there."	180	5	Dear Evan Hansen	I have Never been so touched!	Michael Z
9	August 8, 2017	For my family, seeing this show was a huge deal. Living across the country, we don't see Broadway shows very often, and I am a huge musical fan. Even before I saw the show, I had all the songs memorized, but the show exceeded all my expectations.  Our seats were nosebleed. We were in the balcony, the farthest ones back, but that didn't take away from the experience whatsoever.  Unfortunately, the one week we went was when Ben Platt was on vacation. This was a huge bummer, seeing as he's the star of the show, but my family decided to look at it as excuse to see it again. Michael Lee Brown was the understudy, and he did a phenomenal job as well. He had huge shoes to fill, and he lived up to the challenge and was incredibly talented. This is one of those shows where seeing it live is really a whole different experience from listening to the soundtrack. The lighting is amazing, and how they convey social media, texting, talking on the phone, and other more modern things that aren't easy to portray on stage is so well done. Although there are no huge dance numbers, the choreography is so fitting to the tone of the musical, and makes it all the better. For a relatively sad musical overall, the jokes are hilarious. From Zoe's commentary about her family to Jared's one liners, they're modern and actually funny. People who don't normally enjoy Broadway shows can enjoy this one, due the the relevancy and humor. The rest of the cast was absolutely amazing. Rachel Bay Jone's tony was well deserved, as was Mike Faist's nomination. For a show with no ensemble and only 8 total characters, every actor held his/her own and really added to the musical. The show was so well done that I cried throughout the entire thing. Starting at the second song and continuing to the end, I was fairly dehydrated afterwards. While this was in large part due to the fact that I'm a huge Broadway nerd, the lines in songs like You Will Be Found, Words Fail, and So Big/So Small really touched on insecurities and worries that I, as a real teenager, have today. Overall, thats what really sets the show apart. The authenticity, and just the realness. It touches on an issue often not portrayed, or shown correctly, in today's media, and doesn't romanticize it. Connor's suicide isn't beautiful and romantic. It's awful, for everyone involved, and really shows how someone's death effects those around them. The portrayal of Evan's anxiety is raw and relatable, for anyone who has ever felt alone or on the outside. The show shows how both parents and child see it, and really connects the two generations. I was a different person walking out of that theater than I was when I walked in. Even three weeks later, the show resonates with me, and I'll carry that with me forever. Adult or teen, broadway fan or not, do yourself a favor and see this show. You wouldn't regret it.	5	5	Dear Evan Hansen	The Best Broadway Show I've Ever Seen	Campbell S
93	August 9, 2017	Dear TripAdvisor Readers, This was a great day. I, along with my 14 yr old daughter and 11 year old son saw Dear Evan Hansen on 7-24-17 at 8 pm, a Tuesday. Our seats were at orchestra row e seats 6-10. So we were on the right side of the theater really close to the stage. But I would say there isn't a bad seat in the house in this 984 seat theater. I would agree with the other reviewers that this is just an amazing and wonderful musical. Despite its serious themes including teen isolation, anxiety, depression and suicide, against the backdrop of single parenting and a dysfunctional family and the power of social media, this musical provides a lesson in redemption and love. The musical ultimately states that you are not alone and will be found. The title role is brilliantly played by Ben Platt and the supporting cast is just awesome. The music is wonderful and also brilliant. The cast elicited a lot of emotion from the audience  Including my family. I was crying at the end of the first act and my son was towards the end. The fact that this musical elicited such responses from the audience just shows us how great it is and how great the cast executed the plot, themes and music.   What made this really special is that my friend Nathaniel Hill of Broadway VIP services arranged for us to go back stage to meet Will Roland who played Jared Kleinman in the production. He was also brilliant in the musical. He provided my daughter with some career advice which she is taking to heart. But the coolest part was when Nathaniel walked us past the barriers to the stage door while the adoring fans waited for the actors to appear. Just an awesome wonderful experience. Sincerely, Me. 	106	5	Dear Evan Hansen	You Will Be Found 	Oblio10
78	August 13, 2017	Took my daughter to see this on the opening preview - it was great! She loved it. It's a modern musical, and kids today will relate to it. You will also have waving through a window playing in your head for months afterward lol!	88	5	Dear Evan Hansen	Waving through a window	Kristina H
30	August 14, 2017	I am not a crier and I cried pretty much from halfway through the first song through the entire show. This was amazing on many levels -- the set was fresh and helped to communicate the content/tone of the play, the acting was unbelievable (I have goosebumps now just thinking about it) and this was for not only the main character but the supporting cast as well. I don't know how the main character does this day after day! This is a must see if you are not afraid of going into an ocean of deep raw emotion.	3	5	Dear Evan Hansen	My #1 of All Time!	A S
102	August 20, 2017	Worth every penny and all the hype. Ben Platt and this cast are truly legends in their craft. Thanks for sharing such a heartfelt and relatable story.	98	5	Dear Evan Hansen	Ah-mazing.	AlexBuckFL
147	August 25, 2017	Powerful show and message. The role is a huge undertaking. We saw Colton Ryan in it as Platt has been out with vocal cord rest (understandably too much for someone to do 6 days/week.) Colton was amazing and has been the understudy all year. He did not disappoint. However, the understudy for Evan's mother was subpar and underwhelming in her acting and singing. Other peformers-Mike Faist who played Connor was excellent in every moment he was on stage- I hope to see more of him on Broadway. Laura Dreyfuss has a beautiful voice. This is a small theater and all seats are good in orchestra, did not see mezz so cannot speak for,	76	5	Dear Evan Hansen	Terrfic show	glenside
126	August 31, 2017	"I see a lot of shows.....I mean really a lot. I love theater and I live here! I wasn't willing to spend scalpers prices for this one so I figured I would just never see it. Then a friend called and said she had two extra tickets that she bought and would I be interested? Are you kidding? Standing in the huge line to get in, I suddenly heard that Ben Platt was out on voice rest. WHAT? But there was nothing I could do. So I sadly went to my seat and said to myself, ""IT'S JUST A SHOW""! That's what people need to remember. It's about the show...the message...the meaning. And the understudy was superb! I couldn't imagine anyone being better. So don't get hung up on who's in it....see it and take away the beautiful message. Learn what loneliness is all about. This is a show for everyone...every parent, every teacher, every young person....everyone. Enjoy!"	74	5	Dear Evan Hansen	EVERYONE SHOULD SEE THIS SHOW	nezzie
451	September 2, 2017	"This was a sad but beautifully written and performed play about a teenager, perhaps a bit autistic, who ""grows up"" before our very eyes. Unfortunately, the actor who usually plays Evan Hansen, Ben Platt, was out for a few days for ""voice strain."" His understudy provided a credible performance, but it seemed he was a bit out of tune a few times. In spite of the serious theme, this IS a musical and the music adds a great deal to the overall atmosphere. The story itself is compelling and the play's appeal is certainly partly because we have all known or experienced people and situations similar to those in the play. The Music Box is a great little theater; it's so small that there may not be a bad seat in the house. Unfortunately, most of the performances were sold out, and I had to buy a ticket on the secondary market ($300 for a second row center mezzanine seat). There is a ticket lottery, but as usual, I didn't win. This play is great entertainment-for the story, the music, and emotion it evokes."	164	5	Dear Evan Hansen	Poignant	james p
597	September 2, 2017	Must see show for everyone, especially families of teenagers. Ben Platt is great--lots of pressure on his replacement. All the awards are well deserved. Great story and great acting by the entire cast.	97	5	Dear Evan Hansen	Fantastic show about important topic	RonFG
21	July 19, 2017	Excellent vocal and acting performances really carry this show. It's amazing that the cast can deliver such powerful performances day after day. The set design is not anything exciting but I did think having the musicians visible on stage was a cool element, especially since the music is probably the best part of the show. Definitely an interesting story. Lots of raw emotion, but themes are presented in a pretty straight forward manner so I didn't find a lot of deep meaning in the show. We bought tickets earlier this year, prior to the Tony buzz, but I think I let the subsequent hype build up my expectations a little too much. The crowd was somewhat interesting as well, and the atmosphere almost had the feeling of a concert, what with the rockstar status of Ben Platt. Not surprisingly the crowd skewed younger than most Broadway shows, but a lot of people could not sit still, stay quiet, or keep their phones off during the show. Not typical theater etiquette in short. Still, it was a great production and it was exciting to see a freshly minted Tony winner. Go in with reasonable expectations and you'll have a great time.	16	5	Dear Evan Hansen	Dear Evan Hansen - Original Cast	TKRandall
40	July 21, 2017	I know everybody says this show is wonderful, fantastic, best show they've ever seen. I personally cannot say that I had those feelings toward this show. It is very relevant to teens in this day and age of the internet and social technology, but it left me and many other people that I spoke with afterwards feeling as I did... very unattached and not as emotional as everyone said I would be. This shows message is very current today but it just did not strike me. The actors we're good and the music was good but the storyline I felt just was flat for me. This is my personal opinion but I feel there are other shows out there that are more worthy	16	2	Dear Evan Hansen	Didn't care for show	Stacey P
42	July 21, 2017	I didn't really know much about the Broadway musical Dear Evan Hansen when I bought tickets for it several month ago for our trip in July except that it was new and had good reviews. In fact, I wasn't too sure if my husband and I would like it, but we figured our daughter who just graduated high school would probably enjoy it. Well, we all LOVED it. The cast was outstanding. It made me laugh and it made me cry. I highly recommend going to see it!	21	5	Dear Evan Hansen	Amazing!	Toodles4now
285	July 24, 2017	The musical is excellent, but totally overshadowed by Ben Platt's amazing performance. He captures the essence of teenage angst in the most believable fashion. Some of the music is memorable which beats most of the fare, today. All of the actors are excellent and the story os told in a way that makes everyone in the audience pine for the elusive good ending. Get a ticket at any cost. 	94	5	Dear Evan Hansen	One of the most amazing performances 	Allen L
14	July 26, 2017	It wasn't just the music, which was amazing, or the plot that portrays the complications of being an adolescent in a world where social media plays such a huge and complicating role in everyone's lives. It was the incredibly talented cast, especially Ben Platt. I would go see it again & again, if any tickets were available.	3	5	Dear Evan Hansen	No Words	Janie R
14	July 27, 2017	"In April, I walked out of the show after about 15 minutes because Ben Platt was not appearing in that performance. His understudy may have been fine, but in clips I saw on the internet, Ben Platt blew me away.  I attended the show yesterday, and WOW, Ben Platt is incredible!!! I don't think I've ever witnessed such emotions coming from an actor, and I've been attending the theater for 50 years. I'm glad I got to go back, and see the ""real"" Evan Hansen."	81	5	Dear Evan Hansen	Amended Review from April, 2017	amefromnyc
26	July 29, 2017	"""Dear Evan Hansen"" and Ben Platt's stellar performance moved me to tears – from the first notes of ""Waving Through a Window"" through intermission to the standing ovation as the actors took their bows. The show is stunning, and its characters are so deeply flawed that you can't help but feel the music in your gut because you recognize your darkest thoughts in the words coming from the stage. "	12	5	Dear Evan Hansen	Moving, important 	tlee102
64	August 4, 2017	I purchased tickets for my daughter and myself several months ago (thankfully before the Tony Awards). This is the best show I have ever seen. Ben Platt is a genius. We laughed and cried all the way through the performance. Every member of the cast was excellent. I highly recommend this show - especially for teenagers and parents with teenagers. It covers many affects of social media and anxiety that haunts many kids today. It's worth every dollar you will spend on the tickets. The theater employees are also very helpful and friendly!	22	5	Dear Evan Hansen	YOU MUST SEE THIS SHOW!!!	MPRH11
1231	June 9, 2017	You will never forget seeing this awesome musical. It will win the Tony on Sunday. Make sure you don't get a front row seat because some are difficult to see the actors and my seat had a wall one foot from my face. Which is probably why we got these tickets in the first place. But I would do it again to see this musical. 	290	5	Dear Evan Hansen	Emotional and powerful 	fizzy1991
185	June 10, 2017	I have to say I was super pi**ed two hours before the show when we found out Ben Platt would not be performing. We have waited 7 months and traveled 2500 miles. However we were not giving up our tix and we went to the show. From start to finished it was amazing. Even the songs I didn't necessarily love from the soundtrack came to life and had a whole new meaning. Dear Evan Hansen was an emotional caring show that made me laugh and cry. Each cast member was excellent including Colton Ryan who played Evan that night. This is a must see. Good luck to them on June 11th and the Tonys. They deserve a bunch. 	68	5	Dear Evan Hansen	Must see show even with understudy 	Leslie O
51	August 4, 2017	I must say that after having seen Dear Evan Hansen, it just might be one of the more important musicals I have ever seen. It resonated with me in the same way that Next to Normal did. Both very wrenching experiences in their own way. For those who say DEH is a poor man's Next to Normal though, I don't agree. They are two different musicals with different themes.  I was terribly moved by NtoN, even though I couldn't completely connect with the leading character or the experiences she was going through. Still it captured my emotions in an amazing way. Similarly, DEH was simply outstanding, but it definitely resonated with me on a more personal level than NtoN did.  Though I loved both musicals, DEH was more personal for me. And I connected to it in a more powerful way. Ben Platt is giving a tour de force performance. I almost could't take my eyes off him, observing his every emotion, his every facial expression, his every movement. How he invests himself in this difficult role nightly is truly inspirational. Rachel Bay Jones, as his mother, was equally exceptional. The two of them together are mesmerizing and the connection (or lack thereof early on in the musical) they have is so believable. They carry you to a different place. My friend and I forked out more than face value of the experience and we're both so glad we did. No regrets whatever. This show is a must see. It was remarkable in much the say way that NtoN was. But comparing them is a little off kilter as they both take different journeys. And both are superbly emotional each in their own right.	51	5	Dear Evan Hansen	A stirring and insightful musical	SurfriderCA
200	June 11, 2017	When a play makes you laugh, cry and emotionally feel the story - this is a great play. The music and story, the actors and scene sets were so real and full of life. I did not fully understand what the 'meat' of this play was before I went. It is full of reality and makes one stop and think about any and all actions we take daily. Ben Platt and cast are very, very talented.	52	5	Dear Evan Hansen	Powerful Reality Play in Today's Society - A Must to See	Pepsi38
156	June 21, 2017	I took a group of middle/high school students to this play as part of a theatre trip from Texas. I can tell you that these children and I are forever changed after seeing this play. We were all sobbing and hugging at the end. It is a story that all students and parents need to see. It is very timely. It reminds us that we are all people and that everyone deserves to be seen and remembered. What a beautiful and inspirational piece. It more than deserved every Tony it won. Bravo all!!!!	60	5	Dear Evan Hansen	#you will be found and changed	aamirabella
196	June 21, 2017	"What happens when you become a viral sensation based on a lie? Granted not an intentional deception but one that grows out of control in nanoseconds as social media has become the intoxicating drug for anyone who succumbs to its immediate impact. That's what happens to the 17-year-old title character who is dealing with his debilitating post-adolescent angst by writing encouraging letters to himself. Evan's divorced mother Heidi has pushed him to perform this daily task on behalf of his therapist, and it was one such letter that became the catalyst for a series of events that turns Evan into an instant viral celebrity. The linchpin of the story is fellow high school outcast Connor who angrily expresses his frustration. The letter brings him emotionally closer to Connor's family because they and the rest of the world think it was a suicide note from Connor as he shared his secrets to Evan as a reflection of their presumed close friendship. With a book by Steven Levenson that delves fluently into issues like mental health and teen suicide under Michael Greif's thoughtful direction, this turned out to be a highly engaging production attended at this performance by quite a few enthusiastic pre-teens. In a genuinely moving turn, Ben Platt played Evan with a fervent vulnerability that exposed his character's soul through his constant fidgeting, fast-talking hyper-babble, and a voice that pierced the heart. Sounding very much like Jason Mraz, he sang with soaring clarity. He's in the spotlight on several knockout numbers such as ""Waving Through a Window"", ""For Forever"", and ""If I Could Tell Her"". But Platt was not the only standout as Rachel Bay Jones movingly conveyed helpless confusion and inner strength as Heidi with her big Act II solo about abandonment. ""So Big/So Small"". In fact, a palpable sense of isolation infused all the characters including Connor's parents searching for answers, overachieving Alana who anoints herself mourner-in-chief, and Zoe, Connor's sister and Evan's long-time crush touchingly played by Laura Dreyfuss. The infectious pop-oriented music is by Benj Pasek and Justin Paul, who wrote the lyrics for ""La La Land"". The 23-year-old Platt is definitely a talent to watch."	429	4	Dear Evan Hansen	Ben Platt soars as a lonely teen who becomes a viral sensation based on a lie	Ed_Uyeshima
20	June 24, 2017	Saw this today with my husband and 2 teenagers. I have been listening to the album daily for the past month. This single experience is going to make me question taking any other vacation other than returning to NYC for shows shows SHOWS!!!! We also saw Anastasia and Aladdin. All amazing. But the relevancy of Dear Evan Hansen touched the most tender place in our hearts. Not one of us was dry eyed. Ben Platt and the entire cast rocked. I found myself holding my breath at different points and gasping....  starting to tear up again NOW! hahaha Just GO GO GO It IS WORTH THE BIZARRE TICKET PRICE! Tender and beautiful.	19	5	Dear Evan Hansen	WOW!!! THIS IS WHY I LOVE THE THEATRE!!!!	michelelane
38	June 26, 2017	This was my daughter's first choice of a Broadway musical, with Ben Platt being the main reason. To find out the night before that Ben would not be performing as Evan was disappointing to say the least. However, the show was fantastic even without Ben. All of the cast members were excellent including the understudy (Colton Ryan) who played Evan. The subject matter is relevant to today's teens; this is a must see play. It was great to see that they took home a few Tonys...well deserved. 	3	5	Dear Evan Hansen	A must see....deserved all the awards it received!	PBW4
652	July 4, 2017	"Ben Platt is amazing, although I hear wonderful things about his understudy. Very well written show. Is it as good as Hamilton? I'd have to say ""no"", but it's got to be one of the Top 5 shows currently playing. There are a few ""ok, I'll buy that"" parts that you have to agree to in order to really fall for DEH, but if you do that it's a great story. Not the kind of show you can really see multiple times (like Hamilton) but definitely worth seeing once!"	169	5	Dear Evan Hansen	Deserves the Tony Awards it won	Northern_Traveler00
3	July 8, 2017	I don't know how this show received less than 5 stars on here. I am a HUGE fan of Broadway- I see a show 2-3 times a year. I listened to the soundtrack before coming, and the words are very powerful. That soundtrack does not do justice to Ben Platt's phenomenal performance. This show is worth all the hype and the Tony awards that it has won. 	1	5	Dear Evan Hansen	A must see show	Valerie M
70	May 10, 2017	Such an important show with great music. Everyone can relate to some part of this story. The acting was incredible. Especially by Ben Platt. Bring on the Tonys!	27	5	Dear Evan Hansen	An Important show that everyone can relate to.	Kelsey B
67	May 11, 2017	The play was Marvelous Just Marvelous! Perfect new age tragedy comedy. Immaculately done and spot on singing just perfect pitch! Anyway very lovable and believable characters set was dream come true yet script is lacking morality play for consequences for unscrupulous behavior. Definitely new age script lacking that moral punch leaving no real personal responsibility for actions. Yet still extremely engaging and just beyond belief acting and music. What a treat!!	11	5	Dear Evan Hansen	Music box is an awesome venue! Not a bad seat in the house	rogersgreen
96	May 16, 2017	Dear Evan Hansen got rave reviews and is expected to walk with the Best Musical Tony. It should. Its one of the best shows I've seen in a long long time. I loved the staging, the story, the sets, the songs, and the acting. The lead male performance by Ben Platt is one of the best ever. If he doesnt win the Tony it will be one of the biggest upsets ever. So sorry that you have to wait to see it until 2018 if you dont have tickets. Its the hottest show in town, for a reason. I'm going again with my BF next January. 	42	5	Dear Evan Hansen	Love Love Love this show.	rob788
75	May 24, 2017	Amazing- I've been thinking about the performance since we saw it. The music is fantastic and the cast is phenomenal. It's a small theater so seating was tight but you forget everything except the people on stage. Ben Platt blew my mind with his talent and ability to make this character come to life. A must see.	27	5	Dear Evan Hansen	Amazing In Every Way	Off2Vaca
29	May 25, 2017	A new musical with a strange plot involving high school student suicide. It was surprisingly compelling. The music and the actors are wonderful. The audience reaction was unbelievably intense. It is packed with emotion as well as comedy. Nominated for nine Tony awards, is a strong indication that this is a show that you shouldn't miss.	20	5	Dear Evan Hansen	A great theater experience	Ron N
123	May 29, 2017	"I have been lucky enough to see 12 Broadway musicals this year including Hamilton and Waitress (which were both beyond outstanding). In my opinion, Dear Evan Hansen is the best I have seen. It pains me to say this as I loved Hamilton. What makes Dear Evan Hansen so amazing? It touches you on so many levels. Quite honestly it is emotionally draining.  How? The show stars Ben Platt as Evan Hansen who has severe anxiety, lonely and separated from every one around him. I have seen his character described as socially awkward...that is a gross understatement. You can't even imagine how difficult it is for him to interact with people socially without seeing it. Ben Platt performs a Tony worthy performance (if he doesn't win I would be shocked). There are not words to adequately describe how powerful is his performance and nothing I could write could prepare you for it. So how is this relatable?  While Evan Hanson's character takes his feelings of separation, anxiety and loneliness to an extreme....today we all feel more and more separated from each other. Loneliness is everywhere....even in the middle of a crowd. You really feel his separation in a personal way. The challenges of parenting. And when you aren't relating to Evan Hansen (if you have kids) you are relating to his and Connor Murphy's parents. Evan's mother is expertly played by Rachel Bay Jones as a struggling divorced single parent as a nursing assistant aspiring to be a paralegal...or Connor and Zoey's parents a successful lawyer and stay at home mom...realize they are all doing the best they can, but fear they are coming up short or pushing their kids too hard...or pushing them in the wrong direction.....or just away. Haven't we all felt that way? You feel the anguish of Connors's parents over his suicide. They are devastated and guilt ridden and reach out to Connor's 'Best Friend' as a life preserver.  I don't want to give too much of the plot away. There of plenty of reviews that go into more plot detail. As Maya Angelou famously said... ""At the end of the day people won't remember what you said or did, they will remember how you made them feel."" If you see Dear Evan Hansen be prepared to feel and you will never forget this show."	72	5	Dear Evan Hansen	Relatable, emotional masterpiece 	Chris1620
177	June 2, 2017	I recently saw Dear Evan Hansen. Of all the shows I have been both off and on Broadway, this show was by far the most incredible show I have ever seen! The cast is amazingly talented and the show itself offers such a great exploration of the complexities of life for families and teens today. The show is excellent! I would highly recommend this deep and moving show for anyone who is interested in a great experience in the city!	52	5	Dear Evan Hansen	Incredible Show!	Douglas W
1	June 5, 2017	Overall, a fantastic experience. I didn't know what to expect considering this was my first Broadway experience, and wow was I in for a great show. I was blown away by the talent of the cast, quality of the music, and the story telling ability of the musical. The performers were all very skilled and gave a very moving and enthusiastic performance. Ben Platt kills it as Evan Hansen and all of the other actors and actresses fit their roles perfectly as well. The music is very memorable and fits in seamlessly with the dialogue. 10/10, a must-see.	1	5	Dear Evan Hansen	Dear Evan Hansen - Amazing	Steven P
51	June 6, 2017	Phenomenal show!!! This show is so incredibly intense with an extremely powerful message. My daughter wanted to see this show and I initially didn't care if I saw it or not. Oh my goodness!!! I am so thankful that I got to see it! I would definitely see this again! If Ben Platt doesn't win the Best Actor in a Musical Tony, there is no justice in this world!	10	5	Dear Evan Hansen	Phenomenal!!	idratherbeboatin
460	April 10, 2017	i had heard that this was the musical this year and in January had to wait until April for 2 orchestra seats. It was well worth the wait. Ben Platt is amazing as are his cast members and i can tell you that there isn't anyone who isn't moved by this innovative, emotionally touching show. 	123	5	Dear Evan Hansen	Run and get your tickets before it wins the Tony	Msmouse1
30	April 11, 2017	From start to finish wonderful - perfectly caste, great story and music. Everyone will be able to see something they relate to from their school years. Very moving story which was enhanced by the songs which were perfection. One piece of advice: the stage is very high up so if you do not want neck pain at end of show (which runs about 2 1/2 hours) do not get seats in first 3 rows.	26	5	Dear Evan Hansen	Wonderful	Jane O
350	April 19, 2017	Word of warning, do not put on a lot of eye makeup before going to this show and make sure to use water-proof mascara if you must put on some makeup. There was not a dry eye in the house when all was said and done. The story is very modern, very relevant, perhaps geared more to younger audiences or parents of high-schoolers, but it doesn’t make it less touching to the rest of us. Ben Platt deserves a Tony nomination, if not a win, for his role as Evan Hansen.	176	5	Dear Evan Hansen	Ben Platt deserves a Tony	buttercup1211
27	April 19, 2017	A great musical for sure. The performance was simply AMAZING! Ben Platt owns that character. The rest of the cast was equally awesome. A treat to watch and the whole production should be very proud of the product they had on stage tonight. So great to see hard work and dedication in action. Truly priceless. See it if you can!	8	5	Dear Evan Hansen	Amazing!!!	chiroteam
355	April 24, 2017	We've seen a lot of Broadway and this past weekend I took our 17-year-old daughter to see this because I knew once the Tony's aired I wouldn't be able to get a ticket.  Ben Platt owns it. He completely owns it and he better own a Tony in June or there's something wrong with the voting system. He sang his heart out and just became this character. I found out later that he was acting and singing with a sinus infection. I can't imagine who he sounds without one. I don't want to tell you what it's about because I didn't know and I was glad I didn't. Just bring some tissues and buy the CD because the music is so meaningful and beautiful. A very very special show that high schoolers and adults will relate to.	143	5	Dear Evan Hansen	This is a special and exceptional show.	crapschick
295	April 26, 2017	Our theatre-loving teens were eager to get tickets to this show and were delighted when we found some on Stub Hub. (Be aware of the mature content before taking small children.) Ben Platt was remarkable in his performance, and the entire cast is quite strong.	95	5	Dear Evan Hansen	Drama with a message	Sandi B
6	April 30, 2017	The actor's, the script, the music, the setting, all excellent. I really enjoyed this musical but I had reservations about the message. Everyone tries to tell someone that has suicidal thoughts that nothing good will come from carrying it out but there are lots of good things that come out of Connor's suicide. Someone that's on the edge may take it the wrong way. I suppose that you can't have a play with social commentary without some controversy and uneasiness so go see it.	2	5	Dear Evan Hansen	excellent musical	LAWRENCE Y
64	May 3, 2017	This show is the best musical that has ever come to broadway. It is a musical with a powerful message about honesty and friendship. Ben Platt sparkles and owns the role of Evan and his voice is simply remarkable. Another stand out character is Will Roland who plays Jared. He is absolutely hysterical. Orchestra seats are a must for a show of this caliber. In addition, I was able to wait stage door for signatures and met Morgan Freeman. If celebrities such as him are attending this show, obviously it is something to marvel at. This show deserves Best Musical at the Tonys this year. 	21	5	Dear Evan Hansen	Best musical ever!	20jack03
64	May 3, 2017	I picked up a same day ticket for this show on StubHub while in New York for business. The ticket (front row, mezzanine, left) was sold at what appeared to be face value plus typical StubHub fees. This show has a powerful message with tremendous performances by all. Come prepared to shed some tears. Tickets will likely be harder to get and/or more expensive with all of the Tony award nominations, so I am glad I had the chance to see it when I did.	26	5	Dear Evan Hansen	Phenomenal show	David R
197	March 10, 2017	This show is difficult to get tickets to now but I believe it will be near impossible after it wins numerous Tony Awards in June. The story, the music, and (Of course) Ben Platt. Probably my favorite new musical since Rent debuted many years ago.	103	5	Dear Evan Hansen	Dear TONY Hansen	Andrew S
