contribution	date	full_text	helpful	rating	title	user
209	August 11, 2012	I have seen The Lion King three times now, twice in NYC at the Minskoff, and once in Dallas. It really is my all time favorite show...the music, the costumes, the puppets...it's all just fantastic. This is a show the whole family can really enjoy. I recommend The Lion King to anyone thinking of seeing a Broadway show. You won't regret it!	90	5	I LOVE THIS SHOW!	marinerjess
3	August 12, 2012	Very entertaining for audiences of all ages. Excellent performance of all the actors. Nice costumes. They really captured the audience attention from beginning to end.	2	5	Awesome!	eplv
4	August 2, 2012	Such a good show and a must-see for any tourist! You get reminded of all the classic Lion King songs you thought you had forgotten about. The only down side is there are A LOT of children at this show so it can be very distracting. Although the show is done very well, it takes you a minute to ignore the people behind the masks/puppets too.	5	4	It was good	ohno55
34	August 3, 2012	Just phenomenal. Not to be missed. Kids will love it too! I've seen it several times and would continue to see it again and again.	20	5	Best show you will see on Broadway	NJtravelerrrr
8	August 3, 2012	While this show was not that bad, I found it to be quite drawn out and rather boring. The costumes though were fantastic works of art and the dancers were great, although the story line itself could use a bit of spicing up.	3	3	Poor compare to other Broadway Shows	Ekb98
86	August 4, 2012	I laughed and I cried. It is so beautiful. The costumes, the music, the dancing and singing. Fantastic.	25	5	I've seen it twice over the years, and it was magical both times.	triciaburke
9	July 30, 2012	Excellent show - the one to see! We liked the costumes, the music and see the movie come to life on stage. 	5	5	Don't miss this!	SoccerFan00
30	July 31, 2012	The play was fabulous, we sat in THE last row, center....we had no problem seeing everything on the stage. Highly recommend! 	15	5	Awesome!	cindylou57
68	July 31, 2012	We are in our 50's and went with our 17 & 21 yr old daughters. We all LOVED it! It was spectacular. Beyond what I imagined. It is totally worth whatever price tickets you get (we got $119 tickets - full price - and were in the 14th row - it was great!!!)	20	5	WOW WOW WOW!!!	MargaretJune2010
34	July 31, 2012	I was with my sister and next time I went with my daughters. Fun, happy, entretaining, an a story everybody loves. Good for all ages.	10	5	i've seen it twice	adrioverthehill
91	July 27, 2012	Loved this play again. I love the New York theaters, very small and easy to see everything. I would recommend putting children on the aisle seat so they can see the animals coming down the aisle. 	23	5	Fabulous-even the second time!	Scarlet4Houston
4	July 28, 2012	Fantastic music, greate singers and fabulous costumes. A wonderful time for the hole family! I have always wanted to experience a performance on Broadway. If you have the same thoughts do not let this chance slip through your life!	1	5	Great experience.	Anne-Sissel
5	July 28, 2012	The sets, costumes and props puts The Lion KIng at a distinct category. The actors, music, lighting, etc. were likewise tops.	4	4	A Spectacular Production	Mia J
22	July 29, 2012	I have been to more shows than I care to count and this was the BEST. The direction, the use of technology, the stunning performers, the choreography, the costuming....the whole package was absolutely outstanding. I wasn't sure what would think as it wasn't my choice to go to it but was out-voted by my family. I am SO PLEASED that we went. The time went so fast and that is always a sign of a great show. LOVE LOVE LOVED it!!!	23	5	Best show ever!!	kiwigirlAucklandNZ
14	July 25, 2012	Watching the face of my 7 year old at the Lion King was an experience of a lifetime. It was obviously a fabulous show. However I was overjoyed with how well it kept the attention of the young and old. Don't miss taking your children and watching them experience it.	10	5	Enjoy watching your children experience the Lion King	Dawn G
4	July 26, 2012	THis was our first broadway show and we were very excited. Took two children and they were on the edge of their seats the whole time. The costumes were great. Sit on the edge of the seating to get up close to some of the characters when they come down the aisle. We Loved it!	3	5	Wonderful	Traveler1248
10	July 26, 2012	This is such an awakening experience! I loved it! I think this is one of those plays for everyone. The costumes are vibrant and the music is uplifting. It makes you really feel like part of it.	28	5	Everyone will love this!	Ash286
51	July 26, 2012	This is one of the most spectacular shows every made. If you have the opportunity to see it you are in for a real treat. I highly recommend it.	9	5	Must See!	ChefCoat
7	July 22, 2012	The set and scene changes were amazing -it was almost like watching a movie instead of on the stage!	5	5	Great Experience	FrizzedB
135	July 23, 2012	It was really the best show I ever saw! It brought up memories from the VCR's as a kid. Not cheap but worth every penny!	97	5	Really the best show ever!	SanderCools
29	July 23, 2012	it's my second broadway show and it is simply AWESOME. this one is good for non-English speakers, as they mostly sing some african songs. i'm also sure this show will be the most children-friendly one. if you saw the cartoon (who didn't?) you will not need the playbill at all, the story is well on surface. the only semi-negative comment would be the length of the show, i found it somewhat short! i would gladly enjoy it a little more (: the hyenas are the best costumes!	15	5	100% must see	semya
52	July 23, 2012	Really enjoyed the musical. Have been to Disney world many times, the songs are captivating even if you are no longer a child or have little children...	20	5	Loved it!	aristoninsurance
4	July 20, 2012	Worth getting good seats! Stay after to meet actors.	1	5	Worth getting good seats!	Michele_and_Sean
45	July 20, 2012	"This is truly a magical piece of theatre -- ""The Circle of Life"" will take your breath away. Seats at the Minskoff are MUCH more comfortable than the New Amsterdam, which is where it used to be."	24	5	Breathtaking	ChrisandCarlos
24	July 21, 2012	"It's the same stroyline as the movie.The acting was good, the hyenas were somewhat funny, I guess. Nothing beats the movie itself. The part where ""Simba is alive!"" by the monkey was rushed, and for the first time didn't give me goosebumps. Girlfriend says the monkey actor itself was awesome.  It was still a good show."	12	5	I give it a 4, girlfriend gives it a 5.	Jeff C
31	July 21, 2012	Loved this show! A must-do for visitors to NYC....take the kids, the whole family will love it! Be sure to stop by Junior's, which is next door, and have the strawberry shortcake....to. die. for.	13	5	Awesome!	LynnW2
9	July 18, 2012	third time viewing !!...The Lion King. never been disappointed yet, good for young and older.	2	5	fantastic	muricia1951
2	July 19, 2012	Best show ever. If the theater wasn;t so pricy, I'd go every week!	42	5	I loved the movie as a kid..	Kate L
71	July 19, 2012	"This show is a must watch for EVERYONE. Don't expect this to be like Disneyland Lion King. It's BIGGER. It's LOUDER. It's BETTER! The casts, sets, music, and costumes are simply breathtaking.  I literally teared when the huge props and casts appeared from the entrance singing ""Circle of Life"". I watched this Broadway show again in Singapore the a year after my visit to Minskoff. It's not anywhere near the grandeur this theater house the sensational musical, Lion King!  Stalls seat better than balcony because it's pretty eye level. Make sure you buy the tickets before your show date due to high popularity especially in peak season!"	40	5	Simply breathtaking	sheisadel
26	July 19, 2012	Worth every penny, need I say more.Great for the family.Kids will definitely love this.	15	5	Watch it!	RedCharrlize
12	July 15, 2012	Loved the movie as a kid and loved the musical. There are no bad seats in the theater either.	2	5	Great show to bring your children	Scott H
271	July 15, 2012	I've seen The Lion King 3 times. The last time a few months ago and it was still fabulous. I have a friend who has never been to a broadyway play and she wanted to see Lion King. I know that people may think Disney, and think it may be corney, but it makes a huge statement that we all need to remember. From the music to the acting and all things in between, this is a great play!	112	5	It just gets better and better	arithecat
53	July 15, 2012	I had high expectations of this show since it is one of the most popular on Broadway right now. The tickets were unnecessarily expensive, but hey, it's Broadway! I though the introduction was the highlight of the show as it pretty much fizzled out as the story progressed. Unfortunately, the Elton John tunes were the best to hear as the rest of the score seemed forced and not fitting to the motif. I reiterate that this would probably be the best show to bring a kid to, but as an adult, I found myself falling asleep due to the lack of engaging music and vocalists. The sets and visual aspects were amazing though! 	22	3	Quality show, but obviously geared toward children.	MD L
12	July 16, 2012	Pretty expensive but worth every penny! The costumes and the stage - unbelievable.	2	5	Fantastic	anjab66
5	July 11, 2012	This is a must see. Went with my boyfriend. Costumes, makeup, music, and dancing was amazing. We are still talking about the show daying later. Will be back to see it again.	73	5	Phanominal show	1HappyTraveler2
9	July 12, 2012	Wonderful music and costumes .A real wow moment when the animals come in at the beginning of the show.	1	5	Excellent	Nicola R
38	July 12, 2012	This is artistry at its best! It appeals to adults and is beautifully staged. As a frequent theatergoer, I recommend The Lion King for the most sophisticated .	2	4	Not Just for Children!	Linda C
5	July 13, 2012	This was our first broadway show and we enjoyed it. We thought it would have been better than it was. I'd rate it as very good, not excellent.	2	4	Enjoyed it.	Ginger M
4	July 10, 2012	We like the lion king great performance,nice story, we watch the movie long ago, and it was the yes play specially for the kids, our kids loved it.	21	5	fantastic!	Marie B
35	July 10, 2012	If you or your kids liked this movie then you will LOVE watching it in the theatre! 	9	4	Better then the movie	Virginia M
30	July 11, 2012	My 9 year old granddaughter was mezmerized by The Lion King! We were all enthralled. Well worth it!	7	5	What a wonderful musical!	Sandra P
139	July 11, 2012	The Lion King was awesome. The costumes were amazing...the animal recreations were great...we especially liked the giraffes. The entire performance was great and the theater is very nice. I was upset with the rudeness of many of theater goers. They kindly request no photographs or cell phone usage and it amazed me how many people did it anyway. Folks...turn your cell phones off for 2.5 hours...it's the best present you can give yourself!	41	5	Outstanding!	ClickerM
26	July 9, 2012	This is an expensive show, but worth the money! I would highly recommend it to anyone....kids, adults, anyone would LOVE it!	6	5	Brought tears to my eyes!	emprincipal
6	July 9, 2012	some of the music is also very good and some are heavily borrowed from other musicals (Jesus Christ Supersat for example,,,) But overall it is a very good show!	1	4	Great set design!!!	MichaelTM
14	July 9, 2012	Eventhough it has received many fantastic reviews, I couldn't imagine how they would bring animal characters to life. The show blew my mind with the high level of creativity, incredible voices, all the culture & colours. Besides the couple of sad parts, I sat in my seat smiling the whole time! I've only seen a few musicals (wizard of oz, Mary poppins, wicked, chorusline) but this was by far my absolute favourite!	8	5	Favourite musical ever!	letti11
19	July 9, 2012	Incredible show. Felt like a kid again. Watched the 8pm show. If I had extra money, I'd watch it again. 	11	5	Love the show!	hibell
574	July 7, 2012	"This long playing attraction did not disappoint. We took our 3 grandsons to see it and they all raved about it--the music, costumes, etc. Make sure you add Lion King to your ""bucket list."" You will not be disappointed."	179	5	Lion King--a must see while in NYC	Les F
29	July 7, 2012	This was a great show with awesome music and costumes. I didn't have a great recollection of the animated movie version but I believe it followed the same story line. The costumes were just amazing-the giraffes and gazelles- really looked like the animals they were representing. The sets and acting were also fabulous. A very good show for a family night on Broadway.	16	4	Great Family Show	Danielle C
9	July 8, 2012	"I´m not a great fan of musical, but I really enjoyes the ""Lion King"""	5	5	My fist NY trip	karingr
5	July 8, 2012	I really liked it. My son, whose 10, loved it. I would highly recommend it for children. The story line was a little dark but the costumes were lifelike. You should take this in!	1	4	Enjoyable	Karen B
33	August 23, 2012	The Lion King was a great way to introduce my son to the theatre. It seemed like everyone attending came with a small child or children. The story is familiar to most children and it follows the movie closely making it easy to understand. The costumes and scenery were terrific and very creative and the performers danced and sang beautifully. 	17	4	My Son's 1st Broadway Show	Shanaof
14	August 28, 2012	"This was a terrific broadway production in a nice good-sized theatre (by broadway standards). The play very closely tracks the ""Lion King"" Disney movie, so younger kids who watched the movie would recognize the lines and plot developments and be able to follow along. Be prepared to spend some money, though, unless you can luck out and get some of the cheap seats offered on the day of the show (which is hit or miss). "	9	4	Wonderful production, though pricey	OlyBethM
6	August 30, 2012	wow it was so amazing the music the costumes it was wonderful full of color i loved how they made it just like the movie 	122	5	amazing	Jada M
12	September 1, 2012	My wife and I saw The Lion King today for my birthday. We live in the New York suburbs and I have seen dozens of Broadway musicals over the course of many years. The Lion King may well be the best Broadway musical I have seen. The costumes are spectacular, the cast, music, staging, choreography and book great. We had tickets for the first row center orchestra, which oddly is Row B. The auditorium was packed. There were a lot of small children who were well behaved. After seeing the show in person I can appreciate why it is still a sellout after 15 years.	3	5	The best Broadway musical I have seen	SubroSteve
76	September 3, 2012	"This show definitely brings back all your childhood memories of watching this cartoon. Its very well done, The performers seem to enjoy themselves and the music is great! One of the staff in the theatre was a little too aggressive with enforcing the ""rules"", and heard several people grumbling about him, but other then that, this show is a MUST see in NYC"	58	5	Must experience this performance.	ctraveller7
61	September 4, 2012	Lived up to and more than I expected! Costumes were brilliant; actors splendid and children super talented. 	32	5	The Best!	FrannywestcoastB_C_
2	September 6, 2012	Finally saw it the last time i was in NYC. It's a great show. Entertaining till the curtain goes down. The costumes are phenomenal. Even though it's a story I already new the signing and dancing just blew me away and kept me on the edge of my seat.	1	5	I was on the edge of my seat!	Irina M
122	September 9, 2012	Too monotonous... It is just for kids as it is a big lesson to life... Good setting and production though...	46	2	Just for kids	Paulo Mediano D
78	September 11, 2012	Amazing gowns. Animals really make you feel in the middle of the jungle. Loved the play, the songs are great and the performance all in all is outstanding!	40	5	Fake animals in the wild!	Portenita
31	September 13, 2012	Everything was top rate. Great seats, greatr acoustics. EXCELLENT PERFORMANCE. OUT OF THIS WORLD COSTUMES TOO. My daughter is friends with the costume designer's sister to boot.	16	5	CELEBRATION	Beryl H
13	September 16, 2012	The grandeur and creativity is mind boggling... the 2.5 hr musical extravaganza takes you to a different world altogether. The standing ovations over the last 15 years are truly well deserved. Watch it to believe it.	2	5	Unmatchable!	Abhinav K
23	September 18, 2012	a must for a new york visit. performance was amazing and worth the $130 each. really dramatic with the animals coming from the stalls at start.	8	5	fantastic	jgrierson
81	September 20, 2012	Ok, I waited on this one for a long time. It's expensive and there are a lot of shows to see. My mother wanted to do something special with the whole family (include grandchildren) for her 75th bday, so we got tickets to see Lion King. It's a fantastic production. The music, the costumes, sets, and dancing all combine to create a true Broadway spectacle. If you go, you won't be alone, but you won't be disappointed. Sometimes there is a reason a show runs forever and continues to draw a crowd.	32	5	It Really Is A Great Show	JackInBrooklyn
19	September 24, 2012	"My daughter's first time to see it. They have ""edited"" it a bit, shortened some songs (that needed to be shortened). Sadly, they took out ""The Morning Report"". It was missed, there seemed to be a gap in the story...."	5	4	Loved the Lion King!	Betsy H
74	September 26, 2012	Costumes were amazing. We really enjoyed the show as did the packed audience. My only gripe is that there was only 1 person serving (slowly) at the drink and snack kiosk so we didn't dare wait and miss the start of the show.	64	5	Lived up to the hype	NannyDawn
6	September 28, 2012	Great music, costumes. Prebooked so no waiting. Unable to take photos in theatre even before performance.	55	5	A wonderful experience	Dottieplym
28	October 1, 2012	The costumes were absolutely fabulous. We went as a group of 5 one in the group had seen this already 14 years ago. She was happy to see it a 2nd time because the show is done soo well.	21	5	Great show	Ginger C
45	October 2, 2012	Absolutely magical - an amazing adaptation of the film. The cast are superb - especially the puppeteers. Good deal on tickets from the Ticket Office in Times Square, well worth standing in the queue	10	5	Excellent Show	scrummyyummy
2	October 3, 2012	we were so exited to see the Lion King on Broadway..  our expectation were fulfilled so far is one of the best musicals for all ages. I sure recommend to all families.. enjoyable show.	18	5	best family musical!	RosannaTy
31	October 4, 2012	It's a great family show that children love, with a story that follows the movie and has big ensemble dance numbers. Entertaining for parents too.	12	4	A wonderful family show	mr100percent
58	October 6, 2012	One of my life dreams was to see a Broadway Show but what made seeing a Broadway show a truly amazing experience turns was the show we selected - the Lion King. We paid for the more expensive tickets towards the front of the theatre and it was worth every cent. The costumes, cast, sets were brilliant. My family loved it - highly recommended.	29	5	Only one word describes this production - amazing!	Kelly K
52	September 29, 2012	"Loved the visual feast and music. The adult ""simba"" was a little disappointing, had a weird accent and didn't fit into the story very well in my opinion."	43	4	Awesome visually!	smarty1809
7	September 29, 2012	This show is a fantastic experience and is a must to see. I am submitting this review to warn people who book tickets for the show at the Minskoff Theatre booking office. We bought tickets for the mezzanine level, which are not cheap , the row was ZZZ, on arrival at the theatre we were shown to our seats and we were shocked to find that rows YYY and ZZZ , were what can only be described as restaurant dining room chairs, placed behind the last row of the proper theatre seats. These became uncomfortable after about an hour, and we were very disappointed that a theatre such as the Minskoff has to resort to these tactics to earn more money from patrons , it can only be put down to pure greed and total disregard for patrons who frequent this established theatre.	3	5	Andy and Michelle Glasgow	andy f
48	September 30, 2012	I have seen this show both in London and NYC and it is fantastic. The price is a bit steep (I think I paid 35 GBP in London), but it was a memorable performance.  There were only two downsides that concerned the management/operations of the theater: 1. They let latecomers in even when the performance began (meaning people were still walking in front of the stage blocking our viewing). They should take advice from European theaters and close the doors when the performance begins. At $150 per ticket, I was not satisfied being interrupted 15 minutes into the performance to let others sit down.  2. They served wine in a plastic sippy cup. Now, I understand that the Lion King typically attracts children, but if you're going to buy a glass of wine before the show for $10, then I do believe it should be served in a wine glass, not a plastic cup with a red sippy lid. Again, this did not take away from the performance itself, but having gone to numerous performances around the world, this was certainly an awkward experience.  Overall, Lion King is a fantastic performance and the actors/performers are wonderful. I would certainly recommend seeing it. 	56	5	Fantastic!	journeys4thesoul
140	September 30, 2012	It is a spectacular show and great for kids - totally worth it and you don't need to buy the most expensive tickets as the spectacle is big enough to grab the entire theater. I would say that no matter where you sit, tickets are expensive so be prepared for that and it is probably not great to take your kids (we took 3) to the later shows as the show runs long, gets late, and it will take you a while to get out and cab/subway back to your hotel.	67	5	Totally worth it!	Mark J
81	September 26, 2012	The Lion King was wonderful. Outstanding cast, costumes, choreography, puppetry. The way the giraffes moved around was truly amazing. They actually looked real! Absolutely loved the show!!! The theatre was packed for a Thursday evening. I would highly recommend this show to young and old alike.	60	5	Loved the Lion King!	Joyce S
34	September 27, 2012	Perfect combination of African voices, costums and dance. A must see family outing. A 2.5 hours show you will never forget.	16	5	What a show!	Luc V
143	September 28, 2012	This is a great show stage production and costumes are amazing worth every penny , Would love to go again !!	132	5	Fabulous show	Haricat49
804	September 28, 2012	Saw once by ourselves in the middle of the orchestra and liked it more than from the mezzanine with one of the kids. There's a reason why it's still playing. Julie Taymor is fabulous	302	5	saw twice years ago	doug100worth
14	September 24, 2012	Came into the city for the day and everyone of us thought the performance was superb. Our ages ranged from 67 down to 4years and our attention was held from beginning to end. What a wonderful show and how true - so different from any other theatre performance 	23	5	Family day out. 3 generations enjoyed a fantastic afternoon at a packed theatre.	TimeoutLargs
121	September 24, 2012	An incredible combination of visual splendor and musical masterpiece. Get seats in the aisle to fully maximize the experience. Costumes were incredible.	49	5	Uh....WOW	Kaks827
12	September 25, 2012	The show and costumes were fantastic. Went to the early Saturday show and it was still a full house. Drinks and snacks at intermission are a bit pricey. Paid $32 for a glass of wine, a sm bottle of water and 2 bags of chips.	3	5	Worth the Wait	cmad242
87	September 26, 2012	Loved the Lion King! Costums, music, actors! Everything was spectacular!A lot of imagination went into the costume design.	37	5	The last roar for the Lion King	sunvalleygal
23	September 20, 2012	My wife is a huge fan of the Lion King movie and for years we talked about going to see the show on broadway. Her birthday this past year we finally went and it was worth every penny. The show is amazing from beginning to end. I have seen many Broadway shows and I would absolutely say this is one of the best.	4	5	Absolutely Amazing	James M
77	September 21, 2012	"We have never attended a real Broadway show before, but while in NYC we had to change that. We picked the Lion King, which was one of the most popular shows. The entire show and production was AMAZING !!!! The Minskoff Theater is very beautiful and a great venue.  Even though there probably isn't a bad seat in the house, we splurged and reserved seats right in the middle of the orchestra section row ""O""' center seats. The prices are not that much more than a good Las Vegas show. I would highly recommend this seeing this production. The young actor who played Simba was terrific. Such talent at a very young age. The rest of the cast too were extremely talented. You just can't describe all of the action and amazing costumes. Unbelievable !!!!"	66	5	Amazing Show & Production	MarkM36364
138	September 22, 2012	You know, I went with my daughter to see this show and was thinking it would bore me to death...wrong again vinegar breath, it is a great play for anyone and when you leave you feel you have had the total Broadway experience...go now and go again and again..	103	5	Lions Roar on Broadway	BFAW2
76	September 23, 2012	My husband really wanted to see this one, and he would rate it a 4. Because it is a family show, even at the 8 pm show and even in the most expensive seats there were two VERY young children directly behind us who talked (with their parents) throughout and kicked the backs of our seats. Asking them to stop and turning around to glare on occasion didn't do much good. The school-aged kids I saw there were behaving well. Luck of the draw. As far as the show itself, I enjoyed it, but felt like we saw a better quality of energy and talent at a different Disney show a couple of nights previous to this (Newsies).	25	3	Not as good as I hoped for	Pam D
6	September 18, 2012	I felt entertained from the first to the last song. The cast were all fantastic. The costumes were amazing. I couldn't fault it.	5	5	Great Entertainment	Juliet B
5	September 19, 2012	Great actors, casting, musical and theater. Got discounts because we bought the tickets one hour before the show was suppose to begin, which was extra great. 	3	5	Beautiful and huge theather	Marjori P
12	September 19, 2012	I love this musical! It might be pricy to go but it's worth every single penny! The costumes are genius, the actors are great...I wouldn't want to miss it for the world!	9	5	Just see it for yourself!	FabiJenneke
13	September 19, 2012	The whole spectacle was amazing! The costumes were beautiful, the music uplifting, the acting extremely professional! I couldn't stop smiling!	6	5	Felt like a child!!	europa1
8	September 17, 2012	it is an excellent show with gorgeous costumes and great music. BUT there are no discounts so you will be paying an arm and a leg.	1	5	The Lion King	mara g
48	September 17, 2012	The Lion King was one of my favorite movies as a younger kid, and seeing this play did not disappoint. My wife and I both loved the costumes and songs--even a few songs that we did not recognize. The actors were very good as well, with our favorites being young Simba, Scar, and Rafiki. Adult Simba's accent was strange, but it didn't impact the play. We would highly recommend going to see this play--especially for you guys out there that don't know the songs in any of the other plays!	26	5	Nostalgic Play Was Excellent	apathynext
3	September 17, 2012	Really great show, with beautiful costumes, wonderful voices and great acting. It was my first Broadway show ever and I loved it! I went with 3 other friends and they were equally enthousiastic. A must see when you have the chance! 	1	5	Wonderful performance! 	Lotteke
14	September 17, 2012	This musical is absolutely amazing and my nine year old son is still talking about how fantastic it was. The costumes and singing is brilliant. 	9	5	Must Do !!!	ArafuraGurl
25	September 14, 2012	I wasn't really interested in the story, I thought it would have been a childish experience, but I really have thank my wife for pushing me to go. I LOVED IT! Story is great, actors are great and the way they represent animals on stage is amazing. Really inspiring musical, I would go back again right now!	16	5	Great show!	Stefano L
109	September 14, 2012	"We took several nieces/nephews and my wife and I sat in awe of the majesty of the puppetry and the heartfelt emotions and songs as well as the message being offered all rang true for us. The kids had seen the movie a gajillian times were more mater of fact about it. ""It was good"" but they had a little ""been there, done that"" in their reaction. Every element of the show, signing, lighting, acting and stagecraft were all first rate."	53	4	More fun for the adults than for the kids.	PhotoTheatre
3	September 15, 2012	I have nothing but memories of watching the vhs version of lion king and this surpassed my own perception. Wow great job and awesome acting 	15	5	Old time memories	Viki B
20	September 15, 2012	This is a great show for any age. With beautiful costumes, stage design, and music, this show will make you fall in love with the Lion King all over again. This show is enticing and will pull you straight into the story from the very beginning.  If you get the chance to sit near the front you will get to see some of the actors up close during the show.	7	5	The Lion King For All Ages	Kathryn M
10	September 11, 2012	Phenomenal presentation and visual arrangement of the Lion King story. The actors and puppets were incredible and even as an adult, I loved the show! Not just for kids! Also, great cocktails too!	5	5	Best Broadway Show	LeoMoo
17	September 12, 2012	I was in total awe of the Lion King as soon as it started; when the animals came down through the audiance it blew me away! The animation was the best I have ever seen and the characters were spot on! LOVED IT ! Highly recommend seeing it!	2	5	Best Ever!	dietcokegirl4212
11	September 12, 2012	We saw twice. All was excellent, the actor, the music,costumes, acting, stage, staging, all wonderful, one being a child again.	6	5	Spectacular!!!	sarabea
41	September 13, 2012	Visually beatutiful. But pay attention to the music since the score is by Elton John, and is beautiful too.	41	5	Delightful visual experience	gerryb18
97	September 9, 2012	this is the reason braudway is the world renowned location. You will be singing the praises and songs for weeks to come.	65	5	not just for kids... amazing	StevenPhillipson
11	September 9, 2012	This show is brilliantly put together, from the cast members extraordinary singing talent, to the brilliant movement of the animal body parts, to the sound, to the costumes, to the props, nothing short of spectacular. It is a must see for all ages. 	5	5	Must see	Angela D
19	September 10, 2012	The sheer size of it, the imagination and the staging - the one musical one should go to if there is little time.	21	5	Exceptional	AmoshJerusalem
5	September 10, 2012	I am so glad I purchased a ticket to see the Lion King! I was on a tight budget and wanted to experience as many sites as I could so I was discouraged when I saw how much the tickets were. i went ahead and bought the ticket. It was the most amazing show. My baby will be 18 years old this month and watching the Lion King brought back so many memories of his childhood and the HOURS! watching that movie on VHS! I loved it. 	3	5	Texas Girl in the Big Apple	Kym S
32	September 7, 2012	Got to see Lion King at the Minskoff Theatre and it was great. The costumes the singing and the acting was very excellent. The opening of the show is spectacular so dont get there late and after that you cant turn away, even for a second. Our seats were front row in the mezzanine and they were excellent seats but it does not appear that there are bad seats everyone was very pleased.	19	5	Lion King excellent	PandJFlo
14	September 8, 2012	What a production! It's like being inside of the whole thing! Specially if you sit in one of the sits next the hall, that you should cause that brings a plus to the experience! :)	11	5	Beautiful!	ManuBol
74	September 8, 2012	 I loved the movie, but loved this play even mnore! It was so cool the way they did the stampede, the birds flying, the various animals waloking around. I sat in the balcony and had a great view of how these things were done, as well as a good view of all the musicians, which is something I liked as well. Just great!!!	22	5	FANTASTIC!!!	AlisonCorona_NY
60	September 9, 2012	Wow! What a production. My wife and I were apprehensive about seeing this show wondering how they would pull it off. We had read many great reviews about this show and when it was over we were not disappointed. Don't miss this one.	79	5	THE LION KING IS A SURE HIT!	tejas4us
85	September 4, 2012	The music and acts are great. Seating can get tricky, mid section is quite good. Stage has few features, best feature is animal representations made by humans	67	5	A great performance	lv_roadtrip_4evr
28	September 5, 2012	I was not sure I would enjoy the lion king however I was very pleasantly surprised.  The actors where outstanding, I had seen the film but seeing it in the theatre brought it to a different level. I would recommend this play to everyone. 	18	5	Brilliant night out	Bunessan
70	September 5, 2012	Let me start off by saying I am not a fan of musicals but I loved this show. The costumes were great, the whole feeling of being on the Serengeti with Mustafa was fabulous.	25	5	One of the Best Musicals	Alisa C
16	September 5, 2012	This was my family's (kids ages 11, 12 and 13) first visit to NYC. I really wanted for them to see a Broadway Show. I showed them the trailer for Lion King to try to get them excited. They were pleased to be going but I wouldn't say that excited. Well, this ended up being one of their most favorite things we did in NYC! They loved the show! The actors were amazing, the music moving and the costumes incredible! I was so happy their first NYC Broadway experience was such a memorable one! One tip: We sat about 10 rows from the front and on an aisle as we had read other reviews recommending not to sit right at the front, I'm so glad we listened! Our seats were to the right and row H. Awesome!	9	5	An Amazing Show for the Family	puzzler314
7	September 3, 2012	This show was as good as we expected. Fantastic music and performance - loved it totally. Very comfortable theatre and very handy to Times Square	1	5	Absolutely up to our expectations	Marion F
23	September 4, 2012	An amazing display of music, colors and pure fantasy. Not a show to be missed.  The only cons are the ticket prices: they are sky high. But surprisingly, all shows are sold out in spite of the price.  Make sure you don't penny pinch and get seats at the very edge of the theatre...it will spoil the experience for you.  I made the mistake of getting tickets through ticketsawork, where they don't let you choose your seats and guess what...I got one of the edge seats in the very front and it completely spoiled the experience for me.  But it remained a great musical. But for me, beauty and the beast was a bit better...although I did have great seats for that one. 	28	5	A spectacle not to be missed	Psychoanalyst
25	September 4, 2012	Would recommend to anyone especially with kids. My 7 and 4 year olds were just mesmerized through the whole performance. Amazing!	11	5	Excellent!	Ruth J
8	September 4, 2012	My daughter and I saw the Lion King at the Minskoff Theatre over Labor Day weekend. The production was phenomenal. All ages are sure to be entertained. The music keeps you humming and the characters are so talented. This is a not to be missed production.	4	5	Musical Production	Bentley29
88	September 2, 2012	From the moment the show opened, I was mesmerized by the music, singing and dancing. The actors transform into their characters with such ease and finesse that it is easy to become totally involved in the storyline. Everything about The Lion King is awe inspiring and thoroughly enjoyable. The performance I attended received three curtain calls. Not to be missed.	35	5	Awe Inspiring and Exhilirating	go_broome
60	September 2, 2012	What an amazing show, costumes, stage settings and cast were brilliant. The cast got a standing ovation. Good view from all seats as they are staggered and tiered.	26	5	Fantastic show	Satified10
34	September 2, 2012	Marvellous!! Awesome, spectecular and exciting show. Great actors, costume and all settings. Beautiful songs. If you still don't know which Broadway shows to choose, this is a great choice!!!	8	5	If you don't know which Broadway to choose, this is one great choice!	Amanda C
35	September 3, 2012	I live in Australia so coming to NYC was very exciting for me as a lot of my friends and family had been there and done that! When the Lion King came to Australia, I missed the show and I was very dissapointed as being a 90's kid my favorite movie was of course the Lion King! Seeing it on Broadway was spectacular! I could not wipe the smile off my face the entire time all I could do was sing along to the well known songs and think to myself I finally made it to see a broadway show! I did not want it to end!  For all of those who are umming and ahring about whether to see it....just do it! You will never see a disney show like it apart from Mary Poppins which I got to see in Sydney and it was also supercalifragalisticexpialidocious! Any seat in the house to the Lion King is a good seat. We sat in the Orchestra on the isle so the animals ran down beside us...this is where I turned back into a six year old and was clapping my hands and getting all excited! This was one of the best experiences of my life! I am so glad I got to see it!	22	5	Hakuna Matatta!	amylee91
